Dátum;Napi esetszám [fő/nap];Napi tesztszám [db/nap];Tesztpozitivitás [%]
2021-11-09;8434;29673;28,4231456205979
2021-11-10;8394;37624;22,3102275143525
2021-11-11;8370;37324;22,4252491694352
2021-11-12;8424;35856;23,4939759036145
2021-11-13;7371;35856;20,5572289156627
2021-11-14;5265;30735;17,1303074670571
2021-11-15;5323;21491;24,7685077474292
2021-11-16;10265;33325;30,8027006751688
2021-11-17;10767;44872;23,9949188803708
2021-11-18;11289;51927;21,7401351897857
2021-11-19;10884;44705;24,3462699921709
2021-11-20;9523;44705;21,3018678000224
2021-11-21;6802;38319;17,7509851509695
2021-11-22;6518;23565;27,659664757055
2021-11-23;12637;38849;32,5285078122989
2021-11-24;12165;52800;23,0397727272727
2021-11-25;11871;49296;24,0810613437196
2021-11-26;11132;43615;25,5233291298865
2021-11-27;9740;43615;22,3317665940617
2021-11-28;6958;37385;18,6117426775445
2021-11-29;6390;20309;31,4638830075336
2021-11-30;11152;30920;36,0672703751617
2021-12-01;10466;42035;24,8982990365172
2021-12-02;10143;43276;23,4379332655513
2021-12-03;9080;37367;24,2995156153826
2021-12-04;7945;37367;21,2620761634597
2021-12-05;5674;32030;17,714642522635
2021-12-06;4311;12881;33,4678984550889
2021-12-07;6849;22156;30,9126196064272
2021-12-08;7310;33162;22,0433025752367
2021-12-09;6884;33943;20,2810594231506
2021-12-10;6407;29764;21,5260045692783
2021-12-11;5606;29764;18,8348340276845
2021-12-12;4004;25513;15,6939599419904
2021-12-13;3575;15039;23,7715273621916
2021-12-14;5506;21062;26,1418668692432
2021-12-15;5298;29752;17,8072062382361
2021-12-16;4977;28070;17,7306733167082
2021-12-17;4042;23305;17,3439176142459
2021-12-18;3537;23305;15,1770006436387
2021-12-19;2526;19975;12,6458072590738
2021-12-20;1985;7428;26,7232094776521
2021-12-21;3359;15165;22,1496867787669
2021-12-22;3586;21645;16,5673365673366
2021-12-23;0;;
2021-12-24;3196;19698;16,2249974616712
2021-12-25;2796;19698;14,194334450198
2021-12-26;1997;16885;11,8270654427006
2021-12-27;1370;4556;30,0702370500439
2021-12-28;3005;15551;19,3235161725934
2021-12-29;3361;17638;19,0554484635446
2021-12-30;3360;16661;20,1668567312886
2021-12-31;2346;11979;19,5842724768345
2022-01-01;2053;11979;17,1383254027882
2022-01-02;1466;10268;14,2773665757694
2022-01-03;2429;7845;30,9623964308477
2022-01-04;5270;17764;29,6667417248367
2022-01-05;6454;26980;23,9214232765011
2022-01-06;6524;28955;22,5315144189259
2022-01-07;5862;25765;22,7517950708325
2022-01-08;5129;25765;19,9068503784203
